species,genus,family,species.relative,genus.relative
Eucalyptus_paniculata,Eucalyptus,Myrtaceae,,
Eucalyptus_patellaris,Eucalyptus,Myrtaceae,,
Eucalyptus_patens,Eucalyptus,Myrtaceae,,
Eucalyptus_perangusta,Eucalyptus,Myrtaceae,,
Eucalyptus_percostata,Eucalyptus,Myrtaceae,,
Eucalyptus_petiolaris,Eucalyptus,Myrtaceae,,
Eucalyptus_petraea,Eucalyptus,Myrtaceae,,
Eucalyptus_petrensis,Eucalyptus,Myrtaceae,,
Eucalyptus_phoenicea,Eucalyptus,Myrtaceae,,
Eucalyptus_pilbarensis,Eucalyptus,Myrtaceae,,
Eucalyptus_pileata,Eucalyptus,Myrtaceae,,
Eucalyptus_pimpiniana,Eucalyptus,Myrtaceae,,
Eucalyptus_planchoniana,Eucalyptus,Myrtaceae,,
Eucalyptus_platydisca,Eucalyptus,Myrtaceae,,
Eucalyptus_platypus,Eucalyptus,Myrtaceae,,
Eucalyptus_polita,Eucalyptus,Myrtaceae,,
Eucalyptus_polybractea,Eucalyptus,Myrtaceae,,
Eucalyptus_populnea,Eucalyptus,Myrtaceae,,
Eucalyptus_porosa,Eucalyptus,Myrtaceae,,
Eucalyptus_praetermissa,Eucalyptus,Myrtaceae,,
Eucalyptus_prava,Eucalyptus,Myrtaceae,,
Eucalyptus_prominens,Eucalyptus,Myrtaceae,,
Eucalyptus_propinqua,Eucalyptus,Myrtaceae,,
Eucalyptus_protensa,Eucalyptus,Myrtaceae,,
Eucalyptus_pruiniramis,Eucalyptus,Myrtaceae,,
Eucalyptus_pterocarpa,Eucalyptus,Myrtaceae,,
Eucalyptus_pulverulenta,Eucalyptus,Myrtaceae,,
Eucalyptus_pumila,Eucalyptus,Myrtaceae,,
Eucalyptus_pyriformis,Eucalyptus,Myrtaceae,,
Eucalyptus_quadrangulata,Eucalyptus,Myrtaceae,,
Eucalyptus_quadrans,Eucalyptus,Myrtaceae,,
Eucalyptus_quaerenda,Eucalyptus,Myrtaceae,,
Eucalyptus_ravida,Eucalyptus,Myrtaceae,,
Eucalyptus_recta,Eucalyptus,Myrtaceae,,
Eucalyptus_redunca,Eucalyptus,Myrtaceae,,
Eucalyptus_remota,Eucalyptus,Myrtaceae,,
Eucalyptus_rhodantha,Eucalyptus,Myrtaceae,,
Eucalyptus_rigens,Eucalyptus,Myrtaceae,,
Eucalyptus_rigidula,Eucalyptus,Myrtaceae,,
Eucalyptus_rosacea,Eucalyptus,Myrtaceae,,
Eucalyptus_rossii,Eucalyptus,Myrtaceae,,
Eucalyptus_roycei,Eucalyptus,Myrtaceae,,
Eucalyptus_salicola,Eucalyptus,Myrtaceae,,
Eucalyptus_saligna,Eucalyptus,Myrtaceae,,
Eucalyptus_salmonophloia,Eucalyptus,Myrtaceae,,
Eucalyptus_salubris,Eucalyptus,Myrtaceae,,
Eucalyptus_scyphocalyx,Eucalyptus,Myrtaceae,,
Eucalyptus_sepulcralis,Eucalyptus,Myrtaceae,,
Eucalyptus_sessilis,Eucalyptus,Myrtaceae,,
Eucalyptus_shirleyi,Eucalyptus,Myrtaceae,,
Eucalyptus_siderophloia,Eucalyptus,Myrtaceae,,
Eucalyptus_sideroxylon,Eucalyptus,Myrtaceae,,
Eucalyptus_sieberi,Eucalyptus,Myrtaceae,,
Eucalyptus_smithii,Eucalyptus,Myrtaceae,,
Eucalyptus_sparsa,Eucalyptus,Myrtaceae,,
Eucalyptus_sparsifolia,Eucalyptus,Myrtaceae,,
Eucalyptus_spreta,Eucalyptus,Myrtaceae,,
Eucalyptus_staeri,Eucalyptus,Myrtaceae,,
Eucalyptus_steedmanii,Eucalyptus,Myrtaceae,,
Eucalyptus_stellulata,Eucalyptus,Myrtaceae,,
Eucalyptus_stoatei,Eucalyptus,Myrtaceae,,
Eucalyptus_stowardii,Eucalyptus,Myrtaceae,,
Eucalyptus_stricklandii,Eucalyptus,Myrtaceae,,
Eucalyptus_subtilis,Eucalyptus,Myrtaceae,,
Eucalyptus_surgens,Eucalyptus,Myrtaceae,,
Eucalyptus_synandra,Eucalyptus,Myrtaceae,,
Eucalyptus_talyuberlup,Eucalyptus,Myrtaceae,,
Eucalyptus_tectifica,Eucalyptus,Myrtaceae,,
Eucalyptus_tenella,Eucalyptus,Myrtaceae,,
Eucalyptus_tenera,Eucalyptus,Myrtaceae,,
Eucalyptus_tenuis,Eucalyptus,Myrtaceae,,
Eucalyptus_terebra,Eucalyptus,Myrtaceae,,
Eucalyptus_tetrapleura,Eucalyptus,Myrtaceae,,
Eucalyptus_tetraptera,Eucalyptus,Myrtaceae,,
Eucalyptus_tindaliae,Eucalyptus,Myrtaceae,,
Eucalyptus_todtiana,Eucalyptus,Myrtaceae,,
Eucalyptus_torquata,Eucalyptus,Myrtaceae,,
Eucalyptus_tortilis,Eucalyptus,Myrtaceae,,
Eucalyptus_transcontinentalis,Eucalyptus,Myrtaceae,,
Eucalyptus_triflora,Eucalyptus,Myrtaceae,,
Eucalyptus_trivalvis,Eucalyptus,Myrtaceae,,
Eucalyptus_tumida,Eucalyptus,Myrtaceae,,
Eucalyptus_ultima,Eucalyptus,Myrtaceae,,
Eucalyptus_umbra,Eucalyptus,Myrtaceae,,
Eucalyptus_urna,Eucalyptus,Myrtaceae,,
Eucalyptus_utilis,Eucalyptus,Myrtaceae,,
Eucalyptus_valens,Eucalyptus,Myrtaceae,,
Eucalyptus_verrucata,Eucalyptus,Myrtaceae,,
Eucalyptus_vicina,Eucalyptus,Myrtaceae,,
Eucalyptus_victoriana,Eucalyptus,Myrtaceae,,
Eucalyptus_victrix,Eucalyptus,Myrtaceae,,
Eucalyptus_viridis,Eucalyptus,Myrtaceae,,
Eucalyptus_vittata,Eucalyptus,Myrtaceae,,
Eucalyptus_williamsiana,Eucalyptus,Myrtaceae,,
Eucalyptus_woodwardii,Eucalyptus,Myrtaceae,,
Eucalyptus_wyolensis,Eucalyptus,Myrtaceae,,
Eucalyptus_xerothermica,Eucalyptus,Myrtaceae,,
Eucalyptus_yalatensis,Eucalyptus,Myrtaceae,,
Eucalyptus_yilgarnensis,Eucalyptus,Myrtaceae,,
Eucalyptus_youngiana,Eucalyptus,Myrtaceae,,
Eucalyptus_yumbarrana,Eucalyptus,Myrtaceae,,
Eucalyptus_zopherophloia,Eucalyptus,Myrtaceae,,
Eucryphia_lucida,Eucryphia,Cunoniaceae,,
Exocarpos_aphyllus,Exocarpos,Santalaceae,,
Exocarpos_latifolius,Exocarpos,Santalaceae,,
Ficus_crassipes,Ficus,Moraceae,,
Ficus_destruens,Ficus,Moraceae,,
Ficus_leptoclada,Ficus,Moraceae,,
Ficus_obliqua,Ficus,Moraceae,,
Ficus_opposita,Ficus,Moraceae,,
Ficus_pleurocarpa,Ficus,Moraceae,,
Ficus_racemosa,Ficus,Moraceae,,
Ficus_septica,Ficus,Moraceae,,
Ficus_variegata,Ficus,Moraceae,,
Fimbristylis_complanata,Fimbristylis,Cyperaceae,,
Fimbristylis_dichotoma,Fimbristylis,Cyperaceae,,
Flagellaria_indica,Flagellaria,Flagellariaceae,,
Flindersia_brayleyana,Flindersia,Rutaceae,,
Flueggea_virosa,Flueggea,Phyllanthaceae,,
Franciscodendron_laurifolium,Franciscodendron,Malvaceae,,
Galactia_megalophylla,Galactia,Fabaceae,,
Galactia_tenuiflora,Galactia,Fabaceae,,
Ganophyllum_falcatum,Ganophyllum,Sapindaceae,,
Geijera_salicifolia,Geijera,Rutaceae,,
Gevuina_bleasdalei,Gevuina,Proteaceae,,
Gillbeea_adenopetala,Gillbeea,Cunoniaceae,,
Glandularia_aristigera,Glandularia,Verbenaceae,,
Glischrocaryon_behrii,Glischrocaryon,Haloragaceae,,
Glochidion_harveyanum,Glochidion,Phyllanthaceae,,
Glochidion_hylandii,Glochidion,Phyllanthaceae,,
Glycine_tomentella,Glycine,Fabaceae,,
Gonocarpus_elatus,Gonocarpus,Haloragaceae,,
Goodenia_bellidifolia,Goodenia,Goodeniaceae,,
Goodenia_ovata,Goodenia,Goodeniaceae,,
Grevillea_buxifolia,Grevillea,Proteaceae,,
Grevillea_dryandri,Grevillea,Proteaceae,,
Grevillea_huegelii,Grevillea,Proteaceae,,
Grevillea_juncifolia,Grevillea,Proteaceae,,
Grevillea_lavandulacea,Grevillea,Proteaceae,,
Grevillea_parallela,Grevillea,Proteaceae,,
Grevillea_pteridifolia,Grevillea,Proteaceae,,
Grevillea_sericea,Grevillea,Proteaceae,,
Grevillea_striata,Grevillea,Proteaceae,,
Grevillea_wickhamii,Grevillea,Proteaceae,,
Guilfoylia_monostylis,Guilfoylia,Surianaceae,,
Guioa_acutifolia,Guioa,Sapindaceae,,
Guioa_lasioneura,Guioa,Sapindaceae,,
Haemodorum_brevicaule,Haemodorum,Haemodoraceae,,
Haemodorum_coccineum,Haemodorum,Haemodoraceae,,
Hakea_arborescens,Hakea,Proteaceae,,
Hakea_dactyloides,Hakea,Proteaceae,,
Hakea_divaricata,Hakea,Proteaceae,,
Hakea_gibbosa,Hakea,Proteaceae,,
Hakea_incrassata,Hakea,Proteaceae,,
Hakea_leucoptera,Hakea,Proteaceae,,
Hakea_lorea,Hakea,Proteaceae,,
Hakea_ruscifolia,Hakea,Proteaceae,,
Hakea_sericea,Hakea,Proteaceae,,
Hakea_teretifolia,Hakea,Proteaceae,,
Hakea_ulicina,Hakea,Proteaceae,,
Halfordia_kendack,Halfordia,Rutaceae,,
Haloragis_aspera,Haloragis,Haloragaceae,,
Hardenbergia_comptoniana,Hardenbergia,Fabaceae,,
Hardenbergia_violacea,Hardenbergia,Fabaceae,,
Hedycarya_angustifolia,Hedycarya,Monimiaceae,,
Helicia_australasica,Helicia,Proteaceae,,
Heritiera_peralata,Argyrodendron,Malvaceae,,
Heteropogon_contortus,Heteropogon,Poaceae,,
Hibbertia_empetrifolia,Hibbertia,Dilleniaceae,,
Hibbertia_hypericoides,Hibbertia,Dilleniaceae,,
Hibbertia_juncea,Hibbertia,Dilleniaceae,,
Hibbertia_scandens,Hibbertia,Dilleniaceae,,
Hibbertia_vestita,Hibbertia,Dilleniaceae,,
Histiopteris_incisa,Histiopteris,Dennstaedtiaceae,,
Hydrocotyle_pedicellosa,Hydrocotyle,Araliaceae,,
Hymenophyllum_australe,Hymenophyllum,Hymenophyllaceae,,
Hymenophyllum_flabellatum,Hymenophyllum,Hymenophyllaceae,,
Hymenophyllum_peltatum,Hymenophyllum,Hymenophyllaceae,,
Hypericum_gramineum,Hypericum,Hypericaceae,,
Hypocalymma_angustifolium,Hypocalymma,Myrtaceae,,
Ilex_arnhemensis,Ilex,Aquifoliaceae,,
Imperata_cylindrica,Imperata,Poaceae,,
Isopogon_anemonifolius,Isopogon,Proteaceae,,
Karrabina_biagiana,Geissois,Cunoniaceae,,
Kennedia_prostrata,Kennedia,Fabaceae,,
Lambertia_formosa,Lambertia,Proteaceae,,
Lastreopsis_decomposita,Lastreopsis,Dryopteridaceae,,
Leptecophylla_juniperina,Leptecophylla,Ericaceae,,
Leptospermum_laevigatum,Leptospermum,Myrtaceae,,
Leptospermum_lanigerum,Leptospermum,Myrtaceae,,
Leptospermum_liversidgei,Leptospermum,Myrtaceae,,
Leptospermum_trinervium,Leptospermum,Myrtaceae,,
Leucopogon_microphyllus,Leucopogon,Ericaceae,,
Litsea_connorsii,Litsea,Lauraceae,,
Litsea_glutinosa,Litsea,Lauraceae,,
Livistona_humilis,Livistona,Arecaceae,,
Livistona_inermis,Livistona,Arecaceae,,
Lomandra_longifolia,Lomandra,Asparagaceae,,
Lomatia_fraseri,Lomatia,Proteaceae,,
Lomatia_fraxinifolia,Lomatia,Proteaceae,,
Lomatia_silaifolia,Lomatia,Proteaceae,,
Lophopetalum_arnhemicum,Lophopetalum,Celastraceae,,
Lophostemon_confertus,Lophostemon,Myrtaceae,,
Luffa_aegyptiaca,Luffa,Cucurbitaceae,,
Lysiana_exocarpi,Lysiana,Loranthaceae,,
Macadamia_ternifolia,Macadamia,Proteaceae,,
Maclura_cochinchinensis,Maclura,Moraceae,,
Macrozamia_communis,Macrozamia,Zamiaceae,,
Macrozamia_spiralis,Macrozamia,Zamiaceae,,
Maireana_sedifolia,Maireana,Amaranthaceae,,
Mallotus_philippensis,Mallotus,Euphorbiaceae,,
Mallotus_polyadenos,Mallotus,Euphorbiaceae,,
Melaleuca_leucadendra,Melaleuca,Myrtaceae,,
Melaleuca_quinquenervia,Melaleuca,Myrtaceae,,
Melaleuca_viridiflora,Melaleuca,Myrtaceae,,
Melastoma_malabathricum,Melastoma,Melastomataceae,,
Melia_azedarach,Melia,Meliaceae,,
Melicope_elleryana,Melicope,Rutaceae,,
Melicope_vitiflora,Melicope,Rutaceae,,
Melicope_xanthoxyloides,Melicope,Rutaceae,,
Mesomelaena_pseudostygia,Mesomelaena,Cyperaceae,,
Monotoca_scoparia,Monotoca,Ericaceae,,
Myoporum_platycarpum,Myoporum,Scrophulariaceae,,
Myoporum_tenuifolium,Myoporum,Scrophulariaceae,,
Myristica_globosa,Myristica,Myristicaceae,,
Neolitsea_dealbata,Neolitsea,Lauraceae,,
Neosepicaea_jucunda,Neosepicaea,Bignoniaceae,,
Neptunia_monosperma,Neptunia,Fabaceae,,
Normanbya_normanbyi,Normanbya,Arecaceae,,
Nothocissus_hypoglauca,Cissus,Vitaceae,,
Notogrammitis_billardierei,Grammitis,Polypodiaceae,,
Olearia_argophylla,Olearia,Asteraceae,,
Olearia_lirata,Olearia,Asteraceae,,
Olearia_ramulosa,Olearia,Asteraceae,,
Orites_excelsa,Orites,Proteaceae,,
Osteospermum_moniliferum,Chrysanthemoides,Asteraceae,,
Owenia_vernicosa,Owenia,Meliaceae,,
Ozothamnus_diosmifolius,Ozothamnus,Asteraceae,,
Ozothamnus_retusus,Ozothamnus,Asteraceae,,
Palmeria_scandens,Palmeria,Monimiaceae,,
Pandanus_spiralis,Pandanus,Pandanaceae,,
Paphia_meiniana,Paphia,Ericaceae,,
Pararchidendron_pruinosum,Pararchidendron,Fabaceae,,
Passiflora_foetida,Passiflora,Passifloraceae,,
Pellaea_falcata,Pellaea,Pteridaceae,,
Persoonia_falcata,Persoonia,Proteaceae,,
Persoonia_linearis,Persoonia,Proteaceae,,
Petalostigma_pubescens,Petalostigma,Picrodendraceae,,
Petermannia_cirrosa,Petermannia,Petermanniaceae,,
Phyllanthus_calycinus,Phyllanthus,Phyllanthaceae,,
Phyllocladus_aspleniifolius,Phyllocladus,Podocarpaceae,,
Pigea_floribunda,Hybanthus,Violaceae,,
Pittosporum_bicolor,Pittosporum,Pittosporaceae,,
Pittosporum_phillyraeoides,Pittosporum,Pittosporaceae,,
Pittosporum_undulatum,Pittosporum,Pittosporaceae,,
Planchonella_euphlebia,Planchonella,Sapotaceae,,
Planchonella_pohlmaniana,Planchonella,Sapotaceae,,
Plantago_euryphylla,Plantago,Plantaginaceae,,
Pleioluma_brownlessiana,Pleioluma,Sapotaceae,,
Pleioluma_macrocarpa,Pleioluma,Sapotaceae,,
Pleioluma_xerocarpa,Pleioluma,Sapotaceae,,
Podocarpus_elatus,Podocarpus,Podocarpaceae,,
Podolepis_lessonii,Podolepis,Asteraceae,,
Polyphlebium_venosum,Polyphlebium,Hymenophyllaceae,,
Polyscias_elegans,Polyscias,Araliaceae,,
Polyscias_murrayi,Polyscias,Araliaceae,,
Polyscias_sambucifolia,Polyscias,Araliaceae,,
Portulaca_bicolor,Portulaca,Portulacaceae,,
Prostanthera_lasianthos,Prostanthera,Lamiaceae,,
Prunus_turneriana,Prunus,Rosaceae,,
Pteridium_esculentum,Pteridium,Dennstaedtiaceae,,
Pterocaulon_serrulatum,Pterocaulon,Asteraceae,,
Pterocaulon_sphacelatum,Pterocaulon,Asteraceae,,
Ptilotus_obovatus,Ptilotus,Amaranthaceae,,
Pullea_stutzeri,Pullea,Cunoniaceae,,
Pycnosorus_chrysanthus,Pycnosorus,Asteraceae,,
Rytidosperma_nudiflorum,Rytidosperma,Poaceae,,
Santalum_acuminatum,Santalum,Santalaceae,,
Santalum_lanceolatum,Santalum,Santalaceae,,
Scaevola_crassifolia,Scaevola,Goodeniaceae,,
Scaevola_depauperata,Scaevola,Goodeniaceae,,
Scaevola_parvibarbata,Scaevola,Goodeniaceae,,
Scaevola_spinescens,Scaevola,Goodeniaceae,,
Schizomeria_ovata,Schizomeria,Cunoniaceae,,
Sclerolaena_diacantha,Sclerolaena,Amaranthaceae,,
Senegalia_burkei,Senegalia,Fabaceae,,
Senna_artemisioides,Senna,Fabaceae,,
Senna_obtusifolia,Senna,Fabaceae,,
Sesuvium_portulacastrum,Sesuvium,Aizoaceae,,
Sida_acuta,Sida,Malvaceae,,
Sloanea_australis,Sloanea,Elaeocarpaceae,,
Sloanea_macbrydei,Sloanea,Elaeocarpaceae,,
Smilax_australis,Smilax,Smilacaceae,,
Solanum_ellipticum,Solanum,Solanaceae,,
Solanum_oldfieldii,Solanum,Solanaceae,,
Solanum_quadriloculatum,Solanum,Solanaceae,,
Sorghum_bicolor,Sorghum,Poaceae,,
Sorghum_brachypodum,Sorghum,Poaceae,,
Spyridium_globulosum,Spyridium,Rhamnaceae,,
Stenocarpus_sinuatus,Stenocarpus,Proteaceae,,
Stirlingia_latifolia,Stirlingia,Proteaceae,,
Strangea_linearis,Strangea,Proteaceae,,
Streptoglossa_cylindriceps,Streptoglossa,Asteraceae,,
Streptoglossa_odora,Streptoglossa,Asteraceae,,
Strychnos_lucida,Strychnos,Loganiaceae,,
Syncarpia_glomulifera,Syncarpia,Myrtaceae,,
Synoum_glandulosum,Synoum,Meliaceae,,
Syzygium_canicortex,Syzygium,Myrtaceae,,
Syzygium_cormiflorum,Syzygium,Myrtaceae,,
Syzygium_endophloium,Syzygium,Myrtaceae,,
Syzygium_gustavioides,Syzygium,Myrtaceae,,
Syzygium_kuranda,Syzygium,Myrtaceae,,
Syzygium_oleosum,Syzygium,Myrtaceae,,
Syzygium_sayeri,Syzygium,Myrtaceae,,
Syzygium_smithii,Syzygium,Myrtaceae,,
Syzygium_unipunctatum,Syzygium,Myrtaceae,,
Tacca_leontopetaloides,Tacca,Dioscoreaceae,,
Telopea_speciosissima,Telopea,Proteaceae,,
Templetonia_retusa,Templetonia,Fabaceae,,
Terminalia_canescens,Terminalia,Combretaceae,,
Tetracera_nordtiana,Tetracera,Dilleniaceae,,
Tetratheca_rupicola,Tetratheca,Elaeocarpaceae,,
Tetratheca_thymifolia,Tetratheca,Elaeocarpaceae,,
Themeda_triandra,Themeda,Poaceae,,
Tinospora_smilacina,Tinospora,Menispermaceae,,
Toechima_erythrocarpum,Toechima,Sapindaceae,,
Toona_ciliata,Toona,Meliaceae,,
Trema_tomentosa,Trema,Cannabaceae,,
Trianthema_portulacastrum,Trianthema,Aizoaceae,,
Triodia_basedowii,Triodia,Poaceae,,
Triodia_irritans,Triodia,Poaceae,,
Triodia_scariosa,Triodia,Poaceae,,
Tristaniopsis_laurina,Tristaniopsis,Myrtaceae,,
Velleia_spathulata,Velleia,Goodeniaceae,,
Ventilago_viminalis,Ventilago,Rhamnaceae,,
Vulpia_myuros,Vulpia,Poaceae,,
Wahlenbergia_ceracea,Wahlenbergia,Campanulaceae,,
Waitzia_acuminata,Waitzia,Asteraceae,,
Wollemia_nobilis,Wollemia,Araucariaceae,,
Wrightia_pubescens,Wrightia,Apocynaceae,,
Xanthophyllum_octandrum,Xanthophyllum,Polygalaceae,,
Xanthorrhoea_preissii,Xanthorrhoea,Asphodelaceae,,
Xanthorrhoea_quadrangulata,Xanthorrhoea,Asphodelaceae,,
Xanthosia_pilosa,Xanthosia,Apiaceae,,
Xylocarpus_moluccensis,Xylocarpus,Meliaceae,,
Xylomelum_pyriforme,Xylomelum,Proteaceae,,
Zieria_arborescens,Zieria,Rutaceae,,
